name,address,設置数,lat,lng,
ミニストップ鎌倉十二所店,神奈川県鎌倉市十二所９３１,1,35.319229,139.577647,
ファミリーマート鎌倉雪ノ下店,神奈川県鎌倉市雪ノ下３－４－２５,1,35.323724,139.558811,
ファミリーマート鎌倉駅東口店,神奈川県鎌倉市小町１－２－１６,1,35.317884,139.550827,
ローソン鎌倉小町一丁目店,神奈川県鎌倉市鎌倉市小町１－１４－１５,1,35.316878,139.551065,
ファミリーマート鎌倉二の鳥居店,神奈川県鎌倉市小町２－１５－１,1,35.319448,139.552763,
セブン‐イレブン鎌倉小町２丁目店,神奈川県鎌倉市小町２－１６－２７,1,35.319222,139.553719,
ローソン鎌倉名越店,神奈川県鎌倉市大町３－１－１４,1,35.313543,139.556326,
ファミリーマート鎌倉御成町店,神奈川県鎌倉市御成町９－２８,1,35.318911,139.548628,
ファミリーマート鎌倉駅西口店,神奈川県鎌倉市御成町１１－５,1,35.31881,139.549587,
ファミリーマート鎌倉長谷店,神奈川県鎌倉市長谷１－８－５,1,35.313643,139.539184,
セブン‐イレブン鎌倉観音前店,神奈川県鎌倉市長谷２－１０－４１,1,35.312958,139.537446,
ローソン鎌倉坂ノ下店,神奈川県鎌倉市坂ノ下２１－１,1,35.309107,139.534113,
セブン‐イレブン鎌倉稲村が崎店,神奈川県鎌倉市稲村ガ崎２－６－１８,1,35.30363,139.52172,
ファミリーマート西鎌倉駅前店,神奈川県鎌倉市腰越１１７９,1,35.319188,139.504443,
ローソン西鎌倉二丁目店,神奈川県鎌倉市西鎌倉２－１－７,1,35.323313,139.506178,
セブン‐イレブン鎌倉七里ガ浜店,神奈川県鎌倉市七里ガ浜東２－２－５,1,35.305507,139.511048,
セブン‐イレブン鎌倉津西店,神奈川県鎌倉市津西１－８－１４,1,35.315888,139.502401,
セブン‐イレブン鎌倉深沢店,神奈川県鎌倉市梶原１－５－２１,1,35.332536,139.518823,
ミニストップ鎌倉梶原店,神奈川県鎌倉市梶原２－３３－４,1,35.32844,139.530261,
セブン‐イレブン鎌倉山崎店,神奈川県鎌倉市山崎３８－２,1,35.344497,139.521614,
セブン‐イレブン鎌倉湘南町屋駅前店,神奈川県鎌倉市山崎９１９－１,1,35.338504,139.522579,
ローソンストア100 鎌倉山崎店,神奈川県鎌倉市山崎１２４０－１,1,35.341276,139.525517,
ミニストップ鎌倉手広店,神奈川県鎌倉市手広２－２６－１７,1,35.326751,139.509216,
セブン‐イレブン鎌倉手広西店,神奈川県鎌倉市手広６－１－１２,1,35.33196,139.505144,
セブン‐イレブン鎌倉常盤店,神奈川県鎌倉市常盤２１２－１,1,35.329378,139.521608,
ローソン鎌倉梶原店,神奈川県鎌倉市常盤３６４－５,1,35.325994,139.524385,
セブン‐イレブン鎌倉市役所通り店,神奈川県鎌倉市常盤６５５,1,35.322788,139.531321,
ローソン大船駅西口店,神奈川県鎌倉市岡本１－１－１,1,35.353335,139.529511,
セブン‐イレブン鎌倉玉縄店,神奈川県鎌倉市玉縄１－１－１,1,35.353781,139.525044,
ローソン鎌倉玉縄一丁目店,神奈川県鎌倉市玉縄１－１５－３,1,35.349425,139.521198,
ファミリーマート鎌倉植木店,神奈川県鎌倉市植木５８６,1,35.349447,139.514337,
セブン‐イレブン鎌倉城廻東店,神奈川県鎌倉市城廻４５－１,1,35.358751,139.513635,
セブン‐イレブン鎌倉城廻店,神奈川県鎌倉市城廻７９９－１,1,35.356168,139.503731,
セブン‐イレブン鎌倉関谷店,神奈川県鎌倉市関谷６６０－３,1,35.360763,139.511695,
ファミリーマート鎌倉山ノ内店,神奈川県鎌倉市山ノ内１３９５,1,35.334601,139.547208,
ローソン鎌倉台四丁目店,神奈川県鎌倉市台４－２－６,1,35.344107,139.530418,
ミニストップ大船店,神奈川県鎌倉市小袋谷１－３－２,1,35.349184,139.529558,
ファミリーマート大船駅前店,神奈川県鎌倉市大船１－８－２,1,35.353409,139.532068,
ファミリーマート大船中央店,神奈川県鎌倉市大船１－９－５,1,35.353133,139.53203,
ファミリーマート大船駅東口店,神奈川県鎌倉市大船１－１０－１８,1,35.35263,139.531912,
サンクス大船駅前店,神奈川県鎌倉市大船１－１１－１６,1,35.351532,139.531622,
ローソン大船一丁目店,神奈川県鎌倉市大船１－２３－１１,1,35.352822,139.533255,
ファミリーマート大船一丁目店,神奈川県鎌倉市大船１－２６－３３,1,35.354314,139.532944,
ローソン鎌倉大船二丁目店,神奈川県鎌倉市大船２－１－３１,1,35.350046,139.533165,
セブン‐イレブン鎌倉大船２丁目店,神奈川県鎌倉市大船２－１７－２,1,35.353331,139.534202,
ファミリーマート大船二丁目店,神奈川県鎌倉市大船２－２４－３１,1,35.352372,139.536398,
セブン‐イレブン鎌倉小袋谷店,神奈川県鎌倉市大船３－３－５,1,35.349151,139.532369,
ローソン大船四丁目店,神奈川県鎌倉市大船４－２１－１５,1,35.346334,139.541299,
セブン‐イレブン鎌倉大船６丁目店,神奈川県鎌倉市大船６－５－４１,1,35.349591,139.54202,
セブン‐イレブン鎌倉岩瀬店,神奈川県鎌倉市岩瀬３２５－１,1,35.354137,139.544345,
ローソン鎌倉岩瀬店,神奈川県鎌倉市岩瀬７５７,1,35.350335,139.548985,
セブン‐イレブン鎌倉岩瀬北店,神奈川県鎌倉市岩瀬１２７３－１,1,35.362824,139.544218,
ファミリーマート大船谷之前店,神奈川県鎌倉市大船 １７４５,1,35.350507,139.54274,
鎌倉市役所(ロビー),神奈川県鎌倉市御成町18-10,1,35.319347,139.546778,
鎌倉市役所(議会事務局),神奈川県鎌倉市御成町18-10,1,35.319347,139.546778,
大船行政センター,神奈川県鎌倉市大船2-1-26,1,35.349897,139.53345,
玉縄行政センター,神奈川県鎌倉市岡本2-16-3,1,35.34945,139.523375,
深沢行政センター,神奈川県鎌倉市常盤111-3,1,35.330967,139.518772,
腰越行政センター,神奈川県鎌倉市腰越864,1,35.313475,139.500861,
鎌倉生涯学習センター,神奈川県鎌倉市小町1-10-5,1,35.318483,139.552,
中央図書館,神奈川県鎌倉市御成町20-35,1,35.317439,139.545944,
鎌倉体育館,神奈川県鎌倉市由比ガ浜2-9-9,1,35.314,139.548603,
大船体育館,神奈川県鎌倉市台3-2-5,1,35.346525,139.531089,
鎌倉武道館,神奈川県鎌倉市山崎616-6,1,35.346253,139.525458,
鎌倉芸術館,神奈川県鎌倉市大船6-1-2,1,35.352747,139.538333,
鎌倉市福祉センター,神奈川県鎌倉市御成町20-21,1,35.317053,139.546208,
鎌倉市教養センター,神奈川県鎌倉市笛田2-17-1,1,35.324239,139.515917,
名越やすらぎセンター,神奈川県鎌倉市材木座2-15-3,1,35.308681,139.5575,
今泉さわやかセンター,神奈川県鎌倉市今泉3-21-23,1,35.344044,139.562014,
玉縄すこやかセンター,神奈川県鎌倉市玉縄5-9-1,1,35.358817,139.520036,
腰越地域老人福祉センター,神奈川県鎌倉市津西1-7-7,1,35.316028,139.502177,
鎌倉中央公園,神奈川県鎌倉市山崎1667,1,35.334389,139.529486,
見田記念体育館,神奈川県鎌倉市由比ガ浜2-13-18,1,35.312761,139.549556,
たまなわ交流センター,神奈川県鎌倉市台1-2-25,1,35.351219,139.529383,
玉縄青少年会館,神奈川県鎌倉市玉縄1-2-25,1,35.353944,139.524583,
鎌倉青少年会館（フレンドリー鎌倉）,神奈川県鎌倉市二階堂912-1,1,35.321894,139.566431,
鎌倉文学館,神奈川県鎌倉市長谷1-5-3,1,35.315553,139.539,
鎌倉国宝館,神奈川県鎌倉市雪ノ下2-1-1,1,35.324717,139.556917,
海浜公園プール（夏季のみ）,神奈川県鎌倉市坂ノ下34-5,1,35.304858,139.531125,
鏑木清方記念美術館,神奈川県鎌倉市雪ノ下1-5-25,1,35.323025,139.552403,
台在宅福祉センター,神奈川県鎌倉市台2-8-1,1,35.347889,139.528611,
鎌倉市立第一小学校,神奈川県鎌倉市由比ガ浜2-9-55,1,35.314278,139.54825,
鎌倉市立第二小学校,神奈川県鎌倉市二階堂878,1,35.323622,139.565319,
鎌倉市立御成小学校,神奈川県鎌倉市御成町19-1,1,35.318483,139.547236,
鎌倉市立稲村ケ崎小学校,神奈川県鎌倉市極楽寺3-2-3,1,35.310842,139.528189,
鎌倉市立七里ガ浜小学校,神奈川県鎌倉市七里ガ浜東5-3-2,1,35.311433,139.512583,
鎌倉市立腰越小学校,神奈川県鎌倉市腰越5-7-1,1,35.312528,139.492867,
鎌倉市立西鎌倉小学校,神奈川県鎌倉市津1069,1,35.323614,139.507292,
鎌倉市立深沢小学校,神奈川県鎌倉市梶原1-11-1,1,35.330814,139.520742,
鎌倉市立富士塚小学校,神奈川県鎌倉市上町屋810,1,35.337064,139.5205,
鎌倉市立山崎小学校,神奈川県鎌倉市山崎2500,1,35.338733,139.533486,
鎌倉市立小坂小学校,神奈川県鎌倉市小袋谷587,1,35.343675,139.540903,
鎌倉市立玉縄小学校,神奈川県鎌倉市玉縄1-860,1,35.351203,139.523411,
鎌倉市立植木小学校,神奈川県鎌倉市植木1,1,35.35415,139.5182,
鎌倉市立関谷小学校,神奈川県鎌倉市関谷468-1,1,35.360972,139.513417,
鎌倉市立大船小学校,神奈川県鎌倉市大船2-8-1,1,35.351333,139.534611,
鎌倉市立今泉小学校,神奈川県鎌倉市今泉2-13-1,1,35.344664,139.551583,
鎌倉市立第一中学校,神奈川県鎌倉市材木座6-19-19,1,35.302817,139.555333,
鎌倉市立第二中学校,神奈川県鎌倉市西御門1-7-1,1,35.328308,139.559014,
鎌倉市立御成中学校,神奈川県鎌倉市笹目町2-1,1,35.318303,139.542167,
鎌倉市立腰越中学校,神奈川県鎌倉市腰越4-11-20,1,35.312567,139.497556,
鎌倉市立深沢中学校,神奈川県鎌倉市梶原1-14-1,1,35.330994,139.523425,
鎌倉市立手広中学校,神奈川県鎌倉市手広5-7-1,1,35.325147,139.505125,
鎌倉市立大船中学校,神奈川県鎌倉市大船4-1-25,1,35.347197,139.536958,
鎌倉市立玉縄中学校,神奈川県鎌倉市岡本1100,1,35.347872,139.519325,
鎌倉市立岩瀬中学校,神奈川県鎌倉市岩瀬840,1,35.346833,139.549556,
由比ガ浜こどもセンター,神奈川県鎌倉市由比ガ浜3-11-48,1,35.3133392,139.5415914,
深沢こどもセンター,神奈川県鎌倉市梶原2-33-2,1,35.328525,139.529736,
あおぞら園,神奈川県鎌倉市笛田2-38-20,1,35.321344,139.517639,
二階堂子ども会館,神奈川県鎌倉市二階堂912-1,1,35.321667,139.566522,
長谷子ども会館,神奈川県鎌倉市長谷1-11-1,1,35.314164,139.537925,
七里ガ浜子ども会館,神奈川県鎌倉市七里ガ浜東5-3-3,1,35.310831,139.51255,
西鎌倉子ども会館,神奈川県鎌倉市津西1-16-36,1,35.318439,139.500472,
深沢子ども会館,神奈川県鎌倉市寺分436-2,1,35.334764,139.520069,
富士塚子ども会館,神奈川県鎌倉市寺分418-10,1,35.335769,139.519861,
梶原子ども会館,神奈川県鎌倉市梶原4-4-2,1,35.327594,139.529292,
大船子ども会館,神奈川県鎌倉市大船2-10-3,1,35.350642,139.534492,
小坂子ども会館,神奈川県鎌倉市大船2135,1,35.343608,139.54145,
山崎子ども会館,神奈川県鎌倉市山崎2456-1,1,35.337914,139.534569,
岩瀬子ども会館,神奈川県鎌倉市岩瀬549,1,35.354656,139.545597,
玉縄子ども会館,神奈川県鎌倉市玉縄1-2-1,1,35.354122,139.524492,
植木子ども会館,神奈川県鎌倉市植木66-6,1,35.352372,139.516153,
だいいち子どもの家,神奈川県鎌倉市由比ガ浜2-7-21,1,35.313739,139.548569,
おなり子どもの家,神奈川県鎌倉市御成18-10,1,35.319039,139.548228,
いなむらがさき子どもの家,神奈川県鎌倉市極楽寺3-2-3,1,35.311167,139.528139,
こしごえ子どもの家,神奈川県鎌倉市腰越5-2-10,1,35.312994,139.491589,
ふかさわ子どもの家,神奈川県鎌倉市梶原1-11-1,1,35.330902,139.520554,
せきや子どもの家,神奈川県鎌倉市関谷510,1,35.361103,139.513306,
笛田リサイクルセンター,神奈川県鎌倉市笛田1-11-34,1,35.332925,139.507028,
川喜多映画記念館,神奈川県鎌倉市雪ノ下2-2-12,1,35.32425,139.552536,
名越クリーンセンター,神奈川県鎌倉市大町５－１１－１６,1,35.307842,139.561157,
今泉クリーンセンター,神奈川県鎌倉市今泉４－１－１,1,35.3441867,139.5644011,
カドキホール,神奈川県鎌倉市御成町3-5,1,35.315689,139.550714,
鎌倉スポーツクラブ,神奈川県鎌倉市小町1-8-11,1,35.318892,139.552897,
鎌倉女子大学(教室棟),神奈川県鎌倉市大船6-1-3,1,35.353689,139.539361,
鎌倉女子大学(アリーナ棟),神奈川県鎌倉市大船6-1-3,1,35.353689,139.539361,
鎌倉女子大学(本館1階),神奈川県鎌倉市岩瀬1420,1,35.360489,139.547181,
鎌倉女子大学(本館2階),神奈川県鎌倉市岩瀬1420,1,35.360489,139.547181,
鎌倉女子大学(警備室),神奈川県鎌倉市岩瀬1420,1,35.360489,139.547181,
鎌倉女子大学(幼稚部),神奈川県鎌倉市岩瀬1420,1,35.360489,139.547181,
湘南モノレール㈱,神奈川県鎌倉市大船1-4-7,1,35.352167,139.531314,
㈱ルミネ大船店(防災センター),神奈川県鎌倉市大船1-4-1,1,35.352486,139.531397,
㈱ルミネ大船店(３階),神奈川県鎌倉市大船1-4-1,1,35.352486,139.531397,
㈱ルミネ大船店(５階),神奈川県鎌倉市大船1-4-1,1,35.352486,139.531397,
㈱ルミネ大船店(７階),神奈川県鎌倉市大船1-4-1,1,35.352486,139.531397,
江ノ島電鉄㈱鎌倉駅,神奈川県鎌倉市御成1-15,1,35.318636,139.550083,
江ノ島電鉄㈱長谷駅,神奈川県鎌倉市長谷2-14-10,1,35.311267,139.535978,
江ノ島電鉄㈱稲村ケ崎駅,神奈川県鎌倉市稲村ガ崎2-8-1,1,35.304364,139.521978,
江ノ島電鉄㈱腰越駅,神奈川県鎌倉市腰越2-14-14,1,35.308261,139.493411,
江ノ島電鉄㈱七里ヶ浜駅,神奈川県鎌倉市七里ガ浜1-9-5,1,35.306239,139.510175,
江ノ島電鉄㈱極楽寺駅,神奈川県鎌倉市極楽寺3-7-4,1,35.309197,139.528444,
㈱イトーヨーカ堂大船店(保安室),神奈川県鎌倉市大船6-1-1,1,35.354347,139.537931,
㈱イトーヨーカ堂大船店(事務所),神奈川県鎌倉市大船6-1-1,1,35.354347,139.537931,
由比ガ浜地下駐車場,神奈川県鎌倉市由比ガ浜4-1-7,1,35.309808,139.543675,
鎌倉学園中高等学校,神奈川県鎌倉市山ノ内110,1,35.331108,139.552925,
三菱電機ライフサービス㈱湘南支社,神奈川県鎌倉市笛田3-30-1,1,35.322683,139.521722,
鎌倉プリンスホテル(エレベーター横),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
