name,address,lat,lng,容量（立法メートル）
鎌倉消防署第１管区2号,由比ガ浜四丁目１０番３８号付近,35.31044,139.540248,40
鎌倉消防署第１管区3号,由比ガ浜四丁目７番１号付近,35.30971,139.543308,60
鎌倉消防署第２管区1号,材木座三丁目１６番９号付近,35.309058,139.5529,45
鎌倉消防署第２管区2号,材木座五丁目１３番３号付近,35.307716,139.551336,40
鎌倉消防署第２管区3号,材木座五丁目１０番４４号付近,35.306794,139.548771,40
鎌倉消防署第２管区5号,材木座五丁目１０番５号付近,35.307564,139.549441,45
鎌倉消防署第３管区1号,材木座二丁目１２番１７号付近,35.309852,139.55805,40
鎌倉消防署第３管区2号,材木座二丁目７番４１号付近,35.31023,139.553107,40
鎌倉消防署第３管区3号,材木座六丁目７番３１号付近,35.305887,139.552644,40
鎌倉消防署第３管区4号,材木座六丁目１９番１９号付近,35.303023,139.555251,45
鎌倉消防署第３管区6号,材木座二丁目９番１号付近,35.308838,139.554294,40
鎌倉消防署第３管区7号,材木座二丁目１６番付近,35.308977,139.556644,40
鎌倉消防署第４管区1号,大町二丁目４番２０号付近,35.312852,139.553281,40
鎌倉消防署第４管区2号,大町三丁目３番３１付近,35.313017,139.556742,50
鎌倉消防署第４管区3号,大町四丁目６番２５号付近,35.311462,139.560217,40
鎌倉消防署第５管区1号,大町三丁目５番２１号付近,35.314739,139.558537,40
鎌倉消防署第５管区2号,大町一丁目１１番１７号付近,35.314977,139.554162,40
鎌倉消防署第５管区3号,大町七丁目１５４１番４７号付近,35.313977,139.566046,40
鎌倉消防署第６管区1号,小町二丁目１９番２０号付近,35.320633,139.55495,40
鎌倉消防署第６管区2号,小町二丁目１４番４号付近,35.320571,139.553266,40
鎌倉消防署第６管区3号,小町一丁目１０番５号付近,35.318584,139.551916,40
鎌倉消防署第６管区4号,小町二丁目７番２４号付近,35.322294,139.552605,50
鎌倉消防署第７管区1号,御成町１７番２３号付近,35.319644,139.547075,40
鎌倉消防署第７管区2号,御成町２０番２１号付近,35.316957,139.546043,65
鎌倉消防署第７管区3号,御成町１９番１号付近,35.318087,139.546996,85
鎌倉消防署第８管区1号,笹目町６番４３号付近,35.314612,139.543266,50
鎌倉消防署第８管区2号,笹目町２番１号付近,35.317493,139.541468,40
鎌倉消防署第８管区3号,佐助二丁目１８番３号付近,35.324689,139.543536,40
鎌倉消防署第８管区4号,笹目町１１番５号付近,35.317593,139.540205,40
鎌倉消防署第８管区5号,佐助一丁目８番付近,35.32079,139.545154,40
鎌倉消防署第９管区1号,扇ガ谷一丁目９番１０号付近,35.321973,139.550261,40
鎌倉消防署第９管区2号,扇ガ谷一丁目１６番２号付近,35.324768,139.550247,40
鎌倉消防署第９管区3号,扇ガ谷四丁目１１番１４号付近,35.325451,139.545889,40
鎌倉消防署第９管区4号,扇ガ谷三丁目５番１号付近,35.327553,139.549582,40
腰越出張所第１管区1号,腰越四丁目６番９号付近,35.312742,139.49667,50
腰越出張所第１管区2号,腰越五丁目１６番５号付近,35.313488,139.494548,40
腰越出張所第１管区3号,腰越五丁目９番１７号付近,35.313161,139.493085,40
腰越出張所第１管区4号,腰越五丁目１１番１０号付近,35.311055,139.493575,45
腰越出張所第１管区6号,腰越五丁目１番１７号付近,35.312115,139.49127,40
腰越出張所第１管区7号,腰越三丁目９番２１号付近,35.309082,139.489774,50
腰越出張所第１管区8号,腰越三丁目４番１２号付近,35.308624,139.491168,45
腰越出張所第１管区9号,津西二丁目１１番１号付近,35.316048,139.49621,40
