name,address,lat,lng
鎌倉霊園,十二所512,35.327552,139.582946
鶴岡八幡宮,雪ノ下2-1-31,35.326112,139.556427
横浜国大附属鎌倉小・中学校,雪ノ下3-5-10,35.324951,139.55867
源氏山公園,梶原5-1439,35.327417,139.54252
葛原岡神社,梶原5-9-1,35.328659,139.542761
御成中学校,笹目町2-1,35.318059,139.542216
七里ガ浜ゴルフ場,七里ガ浜東1-2-18,35.308273,139.516598
県立鎌倉高等学校,七里ガ浜2-21-1,35.308624,139.503485
東レ基礎研究センター,手広6-10-1,35.328414,139.501554
深沢多目的スポーツ広場及び周辺,寺分8-8,35.334359,139.519101
深沢中学校,梶原1-14-1,35.330942,139.523684
笛田公園,笛田3-1310,35.323993,139.521074
北鎌倉女子学園グランド,山崎2578,35.335691,139.537976
富士塚小学校,上町屋810,35.336977,139.520695
玉縄中学校,岡本1100,35.348117,139.519517
県立フラワーセンター大船植物園,岡本1018,35.348407,139.519748
清泉女学院,城廻200,35.353368,139.51381
栄光学園,玉縄4-1-1, 35.354812,139.519828
鎌倉カントリークラブ,今泉5-1026,35.338627,139.573054
鎌倉中央公園,山崎1667,35.333174,139.529924
鎌倉女子大学大船キャンパス,大船6-1-3,35.353487,139.539757
